[ 2026-09-01 23:21:11,931  ] 17 root - INFO - Initiate the data ingestion
[ 2026-09-01 23:21:15,491  ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-09-01 23:21:15,491  ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-01 23:21:15,492  ] 75 root - INFO - Exporting train and test file path.
[ 2026-09-01 23:21:15,545  ] 84 root - INFO - Exported train and test file path.
[ 2026-09-01 23:21:15,545  ] 19 root - INFO - Data Initiation Completed
[ 2026-09-01 23:21:15,551  ] 23 root - INFO - Initiate the data Validation
[ 2026-09-01 23:21:15,623  ] 33 root - INFO - Required number of columns:2
[ 2026-09-01 23:21:15,623  ] 34 root - INFO - Data frame has columns:31
[ 2026-09-01 23:21:15,624  ] 33 root - INFO - Required number of columns:2
[ 2026-09-01 23:21:15,624  ] 34 root - INFO - Data frame has columns:31
